feature,family,pooled_train,perproj_train,pooled_test,perproj_test,sign
stat_zbright,stat,0.9121,0.9112,0.9276,0.9199,1.0
plx_rb_peak,plx,0.8862,0.879,0.9057,0.9187,1.0
stat_zabs,stat,0.9019,0.9051,0.9158,0.9088,1.0
plx_rb_ptp,plx,0.8672,0.8614,0.8867,0.9059,1.0
plx_chroma_disp_peak,plx,0.8693,0.8615,0.8896,0.9014,1.0
plx_gb_peak,plx,0.8197,0.8172,0.8367,0.8413,1.0
plx_rg_peak,plx,0.7854,0.7835,0.8087,0.8197,1.0
plx_gb_ptp,plx,0.79,0.7887,0.8073,0.8118,1.0
plx_gb_dipole_sep,plx,0.781,0.7727,0.8005,0.8025,-1.0
stat_center_bright,stat,0.6223,0.7682,0.6533,0.7964,1.0
plx_rg_ptp,plx,0.7607,0.7606,0.7807,0.7935,1.0
cv131_sobel_center,cv131,0.7684,0.7756,0.775,0.779,1.0
plx_rb_dipole_sep,plx,0.7847,0.7758,0.7622,0.7564,-1.0
plx_energy_ratio_rb_gb,plx,0.6734,0.7204,0.6869,0.7487,1.0
plx_rg_dipole_sep,plx,0.74,0.7355,0.7239,0.7383,-1.0
stat_nir_red,stat,0.6034,0.7372,0.616,0.7331,-1.0
plx_rb_energy,plx,0.6689,0.6981,0.6815,0.7014,1.0
cv131_harris,cv131,0.6669,0.6723,0.6491,0.6808,1.0
plx_time_consistency,plx,0.6061,0.648,0.6209,0.6527,1.0
cv131_template,cv131,0.6346,0.6551,0.6045,0.6354,1.0
stat_zdark,stat,0.5933,0.6173,0.6196,0.6221,-1.0
stat_contrast,stat,0.5439,0.5656,0.5448,0.602,1.0
plx_rg_energy,plx,0.5627,0.5837,0.5809,0.5755,1.0
plx_gb_energy,plx,0.5533,0.5572,0.562,0.5382,1.0
cv131_hough,cv131,0.5043,0.5091,0.5157,0.5197,-1.0
plx_xcorr_peak,plx,0.5117,0.4979,0.4975,0.5171,1.0
plx_decorr,plx,0.5117,0.4979,0.4975,0.5171,-1.0
plx_chroma_disp,plx,0.5093,0.5042,0.4919,0.5061,-1.0
plx_xcorr_offset,plx,0.507,0.5029,0.4979,0.4976,1.0
